INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
Ranken Technical College,NULL,NULL,2061,2,23039,0.7579,1,Saint Louis,MO
Research College of Nursing,NULL,NULL,306,3,NULL,NULL,3,Kansas City,MO
Rockhurst University,1162,0.7848,1631,2,41513,0.6869,3,Kansas City,MO
Rolla Technical Institute,NULL,0.6923,166,1,NULL,NULL,1,Rolla,MO
Everest College-Springfield,NULL,NULL,314,3,23751,0.3533,1,Springfield,MO
Saint Louis University-Main Campus,1238,0.6438,8141,2,51574,0.702,3,Saint Louis,MO
Salem College of Hairstyling,NULL,NULL,50,3,NULL,NULL,1,Rolla,MO
Sanford-Brown College-Fenton,NULL,NULL,791,3,19383,0.4713,2,Fenton,MO
American College of Hair Design Inc,NULL,NULL,23,3,NULL,NULL,1,Sedalia,MO
Sikeston Career and Technology Center,NULL,NULL,48,1,NULL,NULL,1,Sikeston,MO
Saint Louis Christian College,970,0.2677,229,2,28737,0.3934,3,Florissant,MO
St Louis College of Pharmacy,NULL,NULL,714,2,39781,0.6483,4,Saint Louis,MO
Saint Louis Community College,NULL,NULL,23874,1,11710,NULL,2,Saint Louis,MO
Saint Paul School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Kansas City,MO
Southwest Baptist University,1040,0.9048,2595,2,27607,0.5373,3,Bolivar,MO
Missouri State University-West Plains,NULL,NULL,1633,1,16286,NULL,2,West Plains,MO
Mercy Hospital Springfield-School of Radiologic Technology,NULL,NULL,30,2,NULL,NULL,1,Springfield,MO
Saint Luke's College of Health Sciences,NULL,NULL,262,2,NULL,NULL,3,Kansas City,MO
St Louis College of Health Careers-St Louis,NULL,NULL,362,3,30549,NULL,1,Saint Louis,MO
State Fair Community College,NULL,NULL,4473,1,10548,NULL,2,Sedalia,MO
Stephens College,1046,0.6998,672,2,40350,0.5644,3,Columbia,MO
Southeast Missouri State University,1049,0.9724,9499,1,16237,0.4613,3,Cape Girardeau,MO
Missouri State University-Springfield,1090,0.8326,15343,1,17820,0.5538,3,Springfield,MO
Three Rivers Community College,NULL,NULL,3373,1,11820,NULL,2,Poplar Bluff,MO
North Central Missouri College,NULL,NULL,1228,1,12240,NULL,2,Trenton,MO
Eldon Career Center,NULL,NULL,28,1,NULL,NULL,1,Eldon,MO
Truman Medical Center School of Nurse Anesthesia,NULL,NULL,NULL,1,NULL,NULL,0,Kansas City,MO
Kansas City University of Medicine and Biosciences,NULL,NULL,NULL,2,NULL,NULL,4,Kansas City,MO
Washington University in St Louis,1478,0.1788,6702,2,58901,0.9402,3,Saint Louis,MO
Webster University,1107,0.5909,3374,2,37889,0.6411,3,Saint Louis,MO
Wentworth Military Academy & Junior College,NULL,NULL,384,2,30020,NULL,2,Lexington,MO
Westminster College,1090,0.719,1088,2,32500,0.7014,3,Fulton,MO
William Jewell College,1142,0.6089,1052,2,41691,0.6895,3,Liberty,MO
William Woods University,1051,0.7995,999,2,32700,0.4866,3,Fulton,MO
Academy of Cosmetology Inc,NULL,NULL,48,3,NULL,NULL,1,Bozeman,MT
Blackfeet Community College,NULL,NULL,403,2,14252,NULL,2,Browning,MT
Butte Academy of Beauty Culture,NULL,NULL,46,3,NULL,NULL,1,Butte,MT
Highlands College of Montana Tech,NULL,NULL,592,1,13585,NULL,2,Butte,MT
Crevier's School of Cosmetology,NULL,NULL,101,3,NULL,NULL,1,Kalispell,MT
Carroll College,1108,0.6283,1405,2,37018,0.6212,3,Helena,MT
Dawson Community College,NULL,NULL,266,1,11033,NULL,2,Glendive,MT
Chief Dull Knife College,NULL,NULL,169,1,10089,NULL,2,Lame Deer,MT
Montana State University Billings,NULL,NULL,4354,1,15224,0.4644,3,Billings,MT
Flathead Valley Community College,NULL,NULL,1969,1,12519,NULL,2,Kalispell,MT
Aaniiih Nakoda College,NULL,NULL,184,1,15919,NULL,2,Harlem,MT
Fort Peck Community College,NULL,NULL,372,1,10707,NULL,2,Poplar,MT
Great Falls College Montana State University,NULL,NULL,1645,1,12639,NULL,2,Great Falls,MT
University of Great Falls,NULL,NULL,966,2,35302,0.215,3,Great Falls,MT
Helena College University of Montana,NULL,NULL,1249,1,14862,NULL,2,Helena,MT
Little Big Horn College,NULL,NULL,315,1,13660,NULL,2,Crow Agency,MT
Miles Community College,NULL,NULL,414,1,10180,NULL,2,Miles City,MT
Modern Beauty School Inc,NULL,1,35,3,NULL,NULL,1,Missoula,MT
Montana Tech of the University of Montana,1118,0.8924,1835,1,17844,0.4781,3,Butte,MT
Montana State University,1116,0.5757,12533,1,18022,0.4866,3,Bozeman,MT
The University of Montana,1084,0.9397,12137,1,18172,0.4699,3,Missoula,MT
Montana State University-Northern,913,0.785,1192,1,16281,0.2953,3,Havre,MT
Rocky Mountain College,1031,0.6355,984,2,33030,0.5062,3,Billings,MT
Salish Kootenai College,NULL,NULL,882,2,10916,0.4737,2,Pablo,MT
The University of Montana-Western,NULL,NULL,1467,1,14192,0.361,3,Dillon,MT
La'James International College,NULL,NULL,39,3,NULL,NULL,1,Fremont,NE
Bellevue University,NULL,NULL,6140,2,13470,0.3107,3,Bellevue,NE
Clarkson College,1030,0.6747,804,2,21958,0.5,3,Omaha,NE
Bryan College of Health Sciences,1090,0.84,597,2,26124,NULL,3,Lincoln,NE
Central Community College,NULL,NULL,4613,1,10286,NULL,1,Grand Island,NE
Chadron State College,NULL,NULL,2112,1,14620,0.4181,3,Chadron,NE
College of Hair Design,NULL,NULL,138,3,NULL,NULL,1,Lincoln,NE
Concordia University-Seward,1087,0.7609,1193,2,32220,0.6258,3,Seward,NE
Creighton University,1198,0.782,3984,2,44922,0.7451,3,Omaha,NE
Doane College-Crete,1090,0.7646,1148,2,33890,0.6397,3,Crete,NE
Grace University,1033,0.6192,371,2,26460,0.4286,3,Omaha,NE
Hastings College,1069,0.7215,1039,2,34331,0.5534,3,Hastings,NE
Alegent Health School of Radiologic Technology,NULL,NULL,17,2,NULL,NULL,2,Omaha,NE
Joseph's College,NULL,NULL,308,3,NULL,NULL,1,Lincoln,NE
University of Nebraska at Kearney,1051,0.8533,5384,1,18218,0.5592,3,Kearney,NE
Kaplan University-Lincoln Campus,NULL,NULL,443,3,24431,0.35,2,Lincoln,NE
Nebraska Methodist College of Nursing & Allied Health,1048,0.5138,715,2,23124,0.6364,3,Omaha,NE
Metropolitan Community College Area,NULL,NULL,8188,1,10994,NULL,2,Omaha,NE
Mid-Plains Community College,NULL,NULL,1476,1,9691,NULL,2,North Platte,NE
Midland University,1010,0.9801,1097,2,34819,0.4667,3,Fremont,NE
Nebraska Christian College,NULL,NULL,124,2,22350,0.3922,3,Papillion,NE
University of Nebraska at Omaha,1050,0.8003,11871,1,16063,0.4606,3,Omaha,NE
Kaplan University-Omaha Campus,NULL,NULL,571,3,23730,0.4122,2,Omaha,NE
Nebraska Indian Community College,NULL,NULL,150,1,12766,NULL,2,Macy,NE
University of Nebraska Medical Center,NULL,NULL,822,1,NULL,NULL,3,Omaha,NE
Nebraska Wesleyan University,1165,0.7901,1770,2,35728,0.6538,3,Lincoln,NE
University of Nebraska-Lincoln,1167,0.6437,19103,1,19592,0.6463,3,Lincoln,NE
Northeast Community College,NULL,NULL,2930,1,11025,NULL,2,Norfolk,NE
Peru State College,NULL,NULL,1510,1,14647,0.348,3,Peru,NE
College of Saint Mary,1010,0.5233,697,2,36406,0.3587,3,Omaha,NE
Southeast Community College Area,NULL,NULL,7977,1,8797,NULL,2,Lincoln,NE
Union College,1030,0.4504,725,2,28911,0.4973,3,Lincoln,NE
Vatterott College-Spring Valley,NULL,NULL,383,3,22373,NULL,1,Omaha,NE
Nebraska College of Technical Agriculture,NULL,NULL,247,1,15098,NULL,2,Curtis,NE
Wayne State College,NULL,NULL,2967,1,14551,0.533,3,Wayne,NE
Regional West Medical Center School of Radiologic Technology,NULL,NULL,9,2,NULL,NULL,1,Scottsbluff,NE
Western Nebraska Community College,NULL,NULL,1714,1,10824,NULL,2,Scottsbluff,NE
York College,973,0.5646,466,2,25900,0.3103,3,York,NE
Academy of Hair Design,NULL,NULL,36,3,NULL,NULL,1,Las Vegas,NV
Career College of Northern Nevada,NULL,NULL,522,3,NULL,NULL,2,Sparks,NV
College of Southern Nevada,NULL,NULL,30787,1,10420,0.0897,2,Las Vegas,NV
The Art Institute of Las Vegas,NULL,0.729,1085,3,29000,0.3471,3,Henderson,NV
Everest College-Henderson,NULL,NULL,934,3,26622,NULL,1,Henderson,NV
Marinello Schools of Beauty-Las Vegas,NULL,NULL,389,3,NULL,NULL,1,Las Vegas,NV
University of Nevada-Las Vegas,993,0.8063,22035,1,15249,0.4147,3,Las Vegas,NV
University of Nevada-Reno,1075,0.8207,14675,1,19678,0.5365,3,Reno,NV
Great Basin College,NULL,NULL,2481,1,13370,0.2679,2,Elko,NV
Marinello Schools of Beauty-Reno,NULL,NULL,316,3,NULL,NULL,1,Reno,NV
Morrison University,NULL,NULL,295,3,29409,0.2759,2,Reno,NV
Sierra Nevada College,NULL,NULL,528,2,41300,0.4878,3,Incline Village,NV
Truckee Meadows Community College,NULL,NULL,9887,1,12545,NULL,2,Reno,NV
Western Nevada College,NULL,NULL,3563,1,12228,0.1504,2,Carson City,NV
Colby-Sawyer College,NULL,0.8468,1399,2,48810,0.5773,3,New London,NH
Continental Academie of Hair Design-Hudson,NULL,NULL,59,3,NULL,NULL,1,Hudson,NH
Daniel Webster College,993,0.6357,616,3,29810,0.4684,3,Nashua,NH
Dartmouth College,1446,0.1014,4098,2,58638,0.9583,3,Hanover,NH
Empire Beauty School-Laconia,NULL,NULL,97,3,NULL,NULL,1,Laconia,NH
Empire Beauty School-Somersworth,NULL,NULL,143,3,NULL,NULL,1,Somersworth,NH
Franklin Pierce University,975,0.8472,1697,2,43270,0.4973,3,Rindge,NH
University of New Hampshire School of Law,NULL,NULL,NULL,2,NULL,NULL,4,Concord,NH
Hesser College,NULL,NULL,2951,3,20561,0.3109,2,Manchester,NH
Keene Beauty Academy,NULL,NULL,53,3,NULL,NULL,1,Keene,NH
Lebanon College,NULL,NULL,72,2,21948,NULL,2,Lebanon,NH
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NULL,NULL,131,3,NULL,NULL,1,Bedford,NH
New England College,NULL,0.7238,1084,2,44222,0.4272,3,Henniker,NH
New England School of Hair Design Inc,NULL,NULL,65,3,NULL,NULL,1,West Lebanon,NH
Southern New Hampshire University,995,0.8315,10395,2,39369,0.5814,3,Manchester,NH
New Hampshire Institute for Therapeutic Arts,NULL,NULL,25,3,NULL,NULL,1,Hudson,NH
University of New Hampshire-Main Campus,1095,0.7794,12565,1,28281,0.7695,3,Durham,NH
Keene State College,979,0.785,4780,1,22759,0.6207,3,Keene,NH
University of New Hampshire at Manchester,1045,0.6688,776,1,19800,0.4255,3,Manchester,NH
Plymouth State University,968,0.7648,4127,1,23276,0.5536,3,Plymouth,NH
NHTI-Concord's Community College,NULL,NULL,3866,1,18828,NULL,2,Concord,NH
White Mountains Community College,NULL,NULL,707,1,19877,NULL,2,Berlin,NH
River Valley Community College,NULL,NULL,936,1,22233,NULL,1,Claremont,NH
Lakes Region Community College,NULL,NULL,998,1,19393,NULL,2,Laconia,NH
Manchester Community College,NULL,NULL,2300,1,16668,NULL,2,Manchester,NH
Nashua Community College,NULL,NULL,2007,1,15168,NULL,2,Nashua,NH
Great Bay Community College,NULL,NULL,1801,1,19915,NULL,2,Portsmouth,NH
Portsmouth Beauty School of Hair Design,NULL,NULL,22,3,NULL,NULL,1,Portsmouth,NH
Rivier University,921,0.8217,1411,2,35883,0.5145,3,Nashua,NH
Saint Anselm College,1120,0.7474,1934,2,46363,0.743,3,Manchester,NH
St Joseph School of Nursing,NULL,0.4286,137,2,27968,NULL,1,Nashua,NH
Granite State College,NULL,NULL,1644,1,15104,0.3704,3,Concord,NH
Thomas More College of Liberal Arts,NULL,NULL,95,2,28568,0.3158,3,Merrimack,NH
HoHoKus-Hackensack School of Business and Medical Sciences,NULL,NULL,512,3,NULL,NULL,1,Hackensack,NJ
Atlantic Cape Community College,NULL,NULL,6906,1,14812,NULL,2,Mays Landing,NJ
Fortis Institute,NULL,NULL,499,3,NULL,NULL,1,Wayne,NJ
Bergen Community College,NULL,NULL,15635,1,12014,NULL,2,Paramus,NJ
Berkeley College-Woodland Park,NULL,NULL,2859,3,33794,0.3165,3,Woodland Park,NJ
Beth Medrash Govoha,NULL,NULL,2696,2,NULL,NULL,3,Lakewood,NJ
Bloomfield College,835,0.5463,1956,2,34827,0.3671,3,Bloomfield,NJ
Brookdale Community College,NULL,NULL,12835,1,10976,NULL,2,Lincroft,NJ
Burlington County College,NULL,NULL,9236,1,11554,NULL,2,Pemberton,NJ
Caldwell College,919,0.6126,1572,2,37373,0.507,3,Caldwell,NJ
Camden County College,NULL,NULL,12280,1,10234,NULL,2,Blackwood,NJ
Centenary College,899,0.8915,1891,2,39697,0.4917,3,Hackettstown,NJ
Adult & Continuing Education-BCTS,NULL,NULL,113,1,NULL,NULL,1,Hackensack,NJ
Anthem Institute-Parsippany,NULL,NULL,172,3,NULL,NULL,1,Parsippany,NJ
Lincoln Technical Institute-Edison,NULL,NULL,843,3,NULL,NULL,1,Edison,NJ
Fox Institute of Business-Clifton,NULL,NULL,585,3,NULL,NULL,1,CLIFTON,NJ
Dover Business College,NULL,0.6824,1083,3,30467,NULL,1,Clifton,NJ
The Hair Design School-Ocean,NULL,NULL,112,3,NULL,NULL,1,Ocean,NJ
Cooper Health System Center for Allied Health Education,NULL,NULL,42,2,NULL,NULL,1,Camden,NJ
County College of Morris,NULL,NULL,7633,1,9259,NULL,2,Randolph,NJ
Cumberland County College,NULL,NULL,3823,1,11584,NULL,2,Vineland,NJ
DeVry University-New Jersey,NULL,0.7825,1656,3,26744,0.3915,3,North Brunswick,NJ
Divers Academy International,NULL,NULL,251,3,NULL,NULL,1,ERIAL,NJ
Drake College of Business-Elizabeth,NULL,NULL,1343,3,NULL,NULL,1,Elizabeth,NJ
Drew University,1102,0.8507,1582,2,55081,0.6868,3,Madison,NJ
duCret School of Arts,NULL,0.5455,26,2,12676,NULL,1,Plainfield,NJ
Lincoln Technical Institute-South Plainfield,NULL,NULL,269,3,NULL,NULL,1,South Plainfield,NJ
Essex County College,NULL,NULL,11086,1,8682,NULL,2,Newark,NJ
The Hair Design School-Union,NULL,NULL,127,3,NULL,NULL,1,Union,NJ
Fairleigh Dickinson University-Metropolitan Campus,995,0.6706,4101,2,41360,0.4646,3,Teaneck,NJ
Felician College,831,0.8951,1769,2,41084,0.4183,3,Lodi,NJ
Fairleigh Dickinson University-College at Florham,1020,0.6256,2356,2,48520,0.5786,3,Madison,NJ
Hohokus School of Trade and Technical Sciences,NULL,NULL,215,3,NULL,NULL,1,Paterson,NJ
Georgian Court University,880,0.6484,1433,2,37883,0.4854,3,Lakewood,NJ
Rowan University,1105,0.5616,10533,1,25481,0.7188,3,Glassboro,NJ
Gloucester County College,NULL,NULL,6391,1,10186,NULL,2,Sewell,NJ
Empire Beauty School-Cherry Hill,NULL,NULL,117,3,NULL,NULL,1,Cherry Hill,NJ
Harris School of Business-Cherry Hill Campus,NULL,NULL,358,3,NULL,NULL,1,Cherry Hill,NJ
Eastwick College,NULL,0.4199,1046,3,36378,NULL,2,Ramsey,NJ
Holy Name Medical Center School of Nursing,NULL,0.3158,145,2,35675,NULL,1,Teaneck,NJ
Hudson County Community College,NULL,NULL,9056,1,12321,NULL,2,Jersey City,NJ
New Jersey City University,853,0.4367,6553,1,18332,0.3421,3,Jersey City,NJ
Joe Kubert School of Cartoon and Graphic Art,NULL,0.835,89,3,29830,NULL,1,Dover,NJ
Kean University,930,0.684,12543,1,25340,0.4996,3,Union,NJ
Harris School of Business-Voorhees Campus,NULL,NULL,427,3,NULL,NULL,1,Voorhees,NJ
Lincoln Technical Institute-Union,NULL,NULL,1256,3,NULL,NULL,1,Union,NJ
Rizzieri Aveda School for Beauty and Wellness,NULL,NULL,340,3,NULL,NULL,1,Voorhees,NJ
Mercer County Community College,NULL,NULL,8121,1,8598,NULL,2,West Windsor,NJ
Middlesex County College,NULL,NULL,11622,1,10131,NULL,2,Edison,NJ
Monmouth University,1056,0.7106,4696,2,40705,0.6403,3,West Long Branch,NJ
Montclair State University,985,0.5452,14222,1,21916,0.6318,3,Montclair,NJ
Mountainside Hospital School of Nursing,NULL,0,84,3,NULL,NULL,0,Montclair,NJ
JFK Medical Center Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,950,0.5556,387,2,24635,NULL,1,Plainfield,NJ
Hohokus School-RETS Nutley,NULL,NULL,623,3,NULL,NULL,1,Nutley,NJ
The Hair Design School-Jersey City,NULL,NULL,69,3,NULL,NULL,1,Jersey City,NJ
New Brunswick Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,New Brunswick,NJ
Robert Fiance Beauty Schools-West New York,NULL,NULL,214,3,NULL,NULL,1,West New York,NJ
New Jersey Institute of Technology,1141,0.6366,6154,1,25331,0.5447,3,Newark,NJ
Ocean County College,NULL,NULL,8573,1,13461,NULL,2,Toms River,NJ
Omega Institute,NULL,0.4576,185,3,NULL,NULL,1,Pennsauken,NJ
P B Cosmetology Education Center,NULL,NULL,190,3,NULL,NULL,1,Gloucester,NJ
Parisian Beauty School,NULL,NULL,345,3,NULL,NULL,1,Hackensack,NJ
Passaic County Community College,NULL,NULL,9382,1,11244,NULL,2,Paterson,NJ
Pennco Tech-Blackwood,NULL,NULL,804,3,NULL,NULL,1,Blackwood,NJ
Princeton Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Princeton,NJ
Princeton University,1492,0.0785,5255,2,53934,0.9601,3,Princeton,NJ
Rabbinical College of America,NULL,1,213,2,21000,0.1667,3,Morristown,NJ
Ramapo College of New Jersey,1110,0.4656,5390,1,27125,0.7349,3,Mahwah,NJ
Robert Fiance Beauty Schools-Perth Amboy,NULL,NULL,216,3,NULL,NULL,1,Perth Amboy,NJ
Rider University,1034,0.7214,4173,2,46919,0.6732,3,Lawrenceville,NJ
Roman Academy of Beauty Culture,NULL,NULL,86,3,NULL,NULL,1,Hawthorne,NJ
Rutgers University-Camden,1030,0.6249,4656,1,20667,0.6423,3,Camden,NJ
Rutgers University-New Brunswick,1195,0.6089,31226,1,27274,0.7931,3,New Brunswick,NJ
Rutgers University-Newark,1045,0.5752,7241,1,21508,0.6083,3,Newark,NJ
St Francis Medical Center-School of Radiologic Technology,NULL,NULL,16,2,NULL,NULL,1,Trenton,NJ
Saint Francis Medical Center School of Nursing,NULL,0.2,62,2,NULL,NULL,1,Trenton,NJ
Saint Peter's University,926,0.606,2199,2,39299,0.5246,3,Jersey City,NJ
Salem Community College,NULL,NULL,1154,1,9940,NULL,2,Carneys Point,NJ
Seton Hall University,1105,0.8439,5294,2,47667,0.666,3,South Orange,NJ
Atlantic Beauty & Spa Academy LLC,NULL,NULL,124,3,NULL,NULL,1,Egg Harbor Township,NJ
College of Saint Elizabeth,835,0.5262,1034,2,42045,0.538,3,Morristown,NJ
Raritan Valley Community College,NULL,NULL,7143,1,8435,NULL,2,Branchburg,NJ
Stevens Institute of Technology,1300,0.4045,2542,2,57055,0.7764,3,Hoboken,NJ
The Richard Stockton College of New Jersey,1059,0.5732,7336,1,27945,0.641,3,Galloway,NJ
Talmudical Academy-New Jersey,NULL,1,67,2,17450,0,3,Adelphia,NJ
Teterboro School of Aeronautics,NULL,NULL,122,3,NULL,NULL,1,Teterboro,NJ
Thomas Edison State College,NULL,NULL,19406,1,NULL,NULL,3,Trenton,NJ
The College of New Jersey,1233,0.4614,6381,1,27800,0.8693,3,Ewing,NJ
Sanford-Brown Institute-Iselin,NULL,NULL,884,3,NULL,NULL,1,Iselin,NJ
Union County College,NULL,NULL,11254,1,6876,NULL,2,Cranford,NJ
University of Medicine and Dentistry of New Jersey,NULL,NULL,974,1,NULL,NULL,3,Newark,NJ
William Paterson University of New Jersey,1010,0.6076,9973,1,21029,0.4754,3,Wayne,NJ
Olympian University of Cosmetology,NULL,NULL,1128,3,NULL,NULL,1,Alamogordo,NM
Central New Mexico Community College,NULL,NULL,25194,1,9359,NULL,1,Albuquerque,NM
Navajo Technical College,NULL,NULL,1583,1,8609,0.7205,1,Crownpoint,NM
De Wolff College Hair Styling and Cosmetology,NULL,NULL,103,3,NULL,NULL,1,Albuquerque,NM
New Mexico State University-Dona Ana,NULL,NULL,7025,1,10540,NULL,2,Las Cruces,NM
Clovis Community College,NULL,NULL,2062,1,13556,NULL,1,Clovis,NM
Eastern New Mexico University-Main Campus,947,0.6613,3918,1,14405,0.2934,3,Portales,NM
Eastern New Mexico University-Roswell Campus,NULL,NULL,2442,1,11827,NULL,1,Roswell,NM
Institute of American Indian and Alaska Native Culture,NULL,NULL,241,1,14584,0.2759,3,Santa Fe,NM
New Mexico Highlands University,NULL,NULL,2289,1,15519,0.1616,3,Las Vegas,NM
New Mexico Junior College,NULL,NULL,1413,1,12080,NULL,2,Hobbs,NM
New Mexico Military Institute,960,0.4369,490,1,13844,NULL,2,Roswell,NM
University of New Mexico-Gallup Campus,NULL,NULL,2397,1,10573,NULL,2,Gallup,NM
New Mexico Institute of Mining and Technology,1206,0.7083,1425,1,17172,0.4716,3,Socorro,NM
University of New Mexico-Los Alamos Campus,NULL,NULL,506,1,14178,NULL,2,Los Alamos,NM
University of New Mexico-Main Campus,1036,0.6387,21011,1,16325,0.4582,3,Albuquerque,NM
New Mexico State University-Alamogordo,NULL,NULL,1581,1,9102,NULL,2,Alamogordo,NM
New Mexico State University-Carlsbad,NULL,NULL,849,1,9376,NULL,2,Carlsbad,NM
New Mexico State University-Grants,NULL,NULL,547,1,9112,NULL,2,Grants,NM
New Mexico State University-Main Campus,989,0.8002,13399,1,17101,0.4414,3,Las Cruces,NM
University of New Mexico-Valencia County Campus,NULL,NULL,1930,1,10350,NULL,2,Los Lunas,NM
Northern New Mexico College,NULL,NULL,1367,1,9855,0.1528,2,Espanola,NM
San Juan College,NULL,NULL,6288,1,11645,NULL,2,Farmington,NM
Santa Fe Community College,NULL,NULL,3896,1,15459,NULL,2,Santa Fe,NM
Santa Fe University of Art and Design,1015,1,498,3,42535,0.3896,3,Santa Fe,NM
University of the Southwest,NULL,NULL,334,2,23838,0.2174,3,Hobbs,NM
Southwestern College,NULL,NULL,NULL,2,NULL,NULL,4,Santa Fe,NM
Southwestern Indian Polytechnic Institute,NULL,NULL,478,1,13308,NULL,2,Albuquerque,NM
University of New Mexico-Taos Campus,NULL,NULL,1019,1,13276,NULL,2,Ranchos de Taos,NM
Mesalands Community College,NULL,NULL,498,1,16654,NULL,1,Tucumcari,NM
Vogue College of Cosmetology,NULL,NULL,65,3,NULL,NULL,1,Santa Fe,NM
Western New Mexico University,NULL,NULL,2141,1,14606,0.1652,3,Silver City,NM
Vaughn College of Aeronautics and Technology,997,0.8326,1796,2,29901,0.3815,2,Flushing,NY
Adelphi University,1121,0.6646,5053,2,40633,0.6598,3,Garden City,NY
Adirondack Community College,NULL,NULL,3326,1,10167,NULL,2,Queensbury,NY
Globe Institute of Technology,NULL,NULL,724,3,30580,0.25,2,New York,NY
Bryant & Stratton College-Albany,NULL,NULL,704,3,21206,0.2931,2,Albany,NY
Albany College of Pharmacy and Health Sciences,1174,0.6669,1069,2,38948,0.6983,3,Albany,NY
Albany Law School,NULL,NULL,NULL,2,NULL,NULL,4,Albany,NY
Albany Medical College,NULL,NULL,NULL,2,NULL,NULL,4,Albany,NY
Alfred University,1087,0.7029,1903,2,40966,0.6347,3,Alfred,NY
Allen School-Brooklyn,NULL,NULL,652,3,NULL,NULL,1,Brooklyn,NY
The Ailey School,NULL,0.2857,98,2,33045,NULL,1,New York,NY
American Academy of Dramatic Arts-New York,NULL,0.5521,221,2,40550,NULL,2,New York,NY
American Academy McAllister Institute of Funeral Service,NULL,NULL,411,2,15103,NULL,2,New York,NY
Joffrey Ballet School-American Ballet Center,NULL,NULL,180,3,29054,NULL,1,New York,NY
American Musical and Dramatic Academy,NULL,0.4315,1429,2,42105,0.757,1,New York,NY
