INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Fitchburg State University,987,0.7211,4148,1,17686,0.5029,3,Fitchburg,MA
Framingham State University,1040,0.5167,4255,1,21402,0.5055,3,Framingham,MA
Benjamin Franklin Institute of Technology,NULL,NULL,463,2,25164,0.4793,2,Boston,MA
Gordon College,1156,0.4133,1681,2,43140,0.707,3,Wenham,MA
Gordon-Conwell Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,South Hamilton,MA
Greenfield Community College,NULL,NULL,1980,1,14787,NULL,2,Greenfield,MA
Hallmark Institute of Photography,NULL,NULL,69,3,NULL,NULL,1,Turners Falls,MA
Hampshire College,NULL,0.6369,1468,2,57765,0.6607,3,Amherst,MA
Harvard University,1501,0.0584,7278,2,57950,0.9747,3,Cambridge,MA
Hebrew College,NULL,NULL,4,2,NULL,NULL,3,Newton Centre,MA
Hellenic College-Holy Cross Greek Orthodox School of Theology,NULL,NULL,92,2,38080,0.4118,3,Brookline,MA
Henris School of Hair Design,NULL,NULL,30,3,NULL,NULL,1,Fitchburg,MA
College of the Holy Cross,NULL,0.3297,2878,2,56706,0.9136,3,Worcester,MA
Holyoke Community College,NULL,NULL,6370,1,11963,NULL,2,Holyoke,MA
Sanford-Brown College-Boston,NULL,NULL,71,3,NULL,NULL,2,Boston,MA
Kay Harvey Academy of Hair Design,NULL,NULL,46,3,NULL,NULL,1,West Springfield,MA
La Baron Hairdressing Academy-Brockton,NULL,NULL,44,3,NULL,NULL,1,Brockton,MA
La Baron Hairdressing Academy-New Bedford,NULL,NULL,102,3,NULL,NULL,1,New Bedford,MA
Lasell College,974,0.7614,1667,2,43854,0.5294,3,Newton,MA
Lawrence Memorial Hospital School of Nursing,NULL,NULL,302,2,NULL,NULL,2,Medford,MA
Lesley University,1065,0.6749,1785,2,47788,0.4602,3,Cambridge,MA
Lowell Academy Hairstyling Institute,NULL,NULL,102,3,NULL,NULL,1,Lowell,MA
University of Massachusetts-Lowell,1132,0.6397,11830,1,22861,0.5426,3,Lowell,MA
Mansfield Beauty Schools-Springfield,NULL,NULL,38,3,NULL,NULL,1,Springfield,MA
Mansfield Beauty Schools-Quincy,NULL,NULL,60,3,NULL,NULL,1,Quincy,MA
Marian Court College,NULL,NULL,173,2,24949,0.5091,2,Swampscott,MA
University of Massachusetts-Amherst,1209,0.6294,21672,1,25665,0.7266,3,Amherst,MA
University of Massachusetts-Boston,1015,0.7141,11786,1,19763,0.4358,3,Boston,MA
Massachusetts Bay Community College,NULL,NULL,4573,1,16109,NULL,2,Wellesley Hills,MA
MCPHS University,1094,0.8921,3808,2,43966,0.7053,3,Boston,MA
Massachusetts College of Art and Design,1081,0.6982,1861,1,25384,0.7382,3,Boston,MA
Massachusetts Institute of Technology,1503,0.0815,4510,2,57010,0.9307,3,Cambridge,MA
Massachusetts Maritime Academy,1051,0.7726,1362,1,22420,0.6667,3,Buzzards Bay,MA
University of Massachusetts Medical School Worcester,NULL,NULL,NULL,1,NULL,NULL,4,Worcester,MA
Massachusetts School of Professional Psychology,NULL,NULL,NULL,2,NULL,NULL,4,Newton,MA
Massachusetts School of Barbering,NULL,NULL,91,3,NULL,NULL,1,Quincy,MA
Massasoit Community College,NULL,NULL,7034,1,13154,NULL,2,Brockton,MA
Merrimack College,NULL,0.786,2722,2,46532,0.5995,3,North Andover,MA
MGH Institute of Health Professions,NULL,NULL,160,2,NULL,NULL,3,Boston,MA
Middlesex Community College,NULL,NULL,8871,1,8397,NULL,2,Bedford,MA
Montserrat College of Art,NULL,NULL,378,2,37866,0.5974,3,Beverly,MA
Mount Holyoke College,NULL,0.4681,2154,2,55496,0.8187,3,South Hadley,MA
Mount Ida College,880,0.6065,1261,2,41565,0.3952,3,Newton,MA
Mount Wachusett Community College,NULL,NULL,4222,1,13092,NULL,2,Gardner,MA
Cortiva Institute-Boston,NULL,NULL,210,3,NULL,NULL,1,Watertown,MA
School of the Museum of Fine Arts-Boston,NULL,0.7681,340,2,52303,0.6,3,Boston,MA
Everest Institute-Brighton,NULL,NULL,369,3,NULL,NULL,1,Brighton,MA
Rob Roy Academy-New Bedford,NULL,NULL,27,3,NULL,NULL,1,New Bedford,MA
The New England Conservatory of Music,NULL,0.2777,410,2,54125,0.8588,3,Boston,MA
New England College of Optometry,NULL,NULL,NULL,2,NULL,NULL,3,Boston,MA
New England School of Acupuncture,NULL,NULL,NULL,2,NULL,NULL,4,Newton,MA
New England School of Law,NULL,NULL,NULL,2,NULL,NULL,4,Boston,MA
New England School of Photography,NULL,NULL,66,3,45733,NULL,1,Boston,MA
Newbury College,850,0.5953,961,2,40611,0.309,3,Brookline,MA
Nichols College,940,0.8047,1260,2,44886,0.4656,3,Dudley,MA
Massachusetts College of Liberal Arts,1032,0.672,1483,1,20025,0.5659,3,North Adams,MA
North Bennet Street School,NULL,NULL,161,2,NULL,NULL,1,Boston,MA
North Shore Community College,NULL,NULL,7053,1,12526,NULL,2,Danvers,MA
The New England Institute of Art,NULL,NULL,779,3,33728,0.3539,3,Brookline,MA
Northeastern University,1394,0.3231,13204,2,55914,0.8256,3,Boston,MA
Northern Essex Community College,NULL,NULL,6746,1,12455,NULL,2,Haverhill,MA
College of Our Lady of the Elms,928,0.7492,1308,2,40802,0.6788,3,Chicopee,MA
Pine Manor College,760,0.6411,221,2,36852,0.3353,3,Chestnut Hill,MA
Blessed John XXIII National Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Weston,MA
Quincy College,NULL,NULL,4025,1,15981,NULL,2,Quincy,MA
Quinsigamond Community College,NULL,NULL,7647,1,10587,NULL,2,Worcester,MA
Regis College,954,0.7243,1188,2,47432,0.4867,3,Weston,MA
Roxbury Community College,NULL,NULL,2216,1,7312,NULL,2,Roxbury Crossing,MA
Saint John's Seminary,NULL,1,35,2,NULL,NULL,3,Brighton,MA
Salem State University,986,0.6929,7134,1,20601,0.4558,3,Salem,MA
Salter College-West Boylston,NULL,NULL,697,3,NULL,NULL,1,West Boylston,MA
Simmons College,1149,0.4897,1710,2,51093,0.7122,3,Boston,MA
Bard College at Simon's Rock,NULL,0.922,344,2,59385,0.6739,2,Great Barrington,MA
Smith College,NULL,0.4308,2606,2,57913,0.8613,3,Northampton,MA
Southeastern Technical Institute,NULL,0.6604,112,1,NULL,NULL,1,South Easton,MA
Springfield College,1029,0.6992,2157,2,44829,0.6856,3,Springfield,MA
Springfield Technical Community College,NULL,NULL,6281,1,13496,NULL,2,Springfield,MA
University of Massachusetts-Dartmouth,1061,0.7213,7202,1,23763,0.4903,3,North Dartmouth,MA
Stonehill College,1133,0.7091,2473,2,50677,0.8483,3,Easton,MA
Suffolk University,1014,0.825,5535,2,45280,0.5489,3,Boston,MA
Rob Roy Academy-Taunton,NULL,NULL,37,3,NULL,NULL,1,Taunton,MA
Tufts University,1428,0.1884,5146,2,58752,0.9219,3,Medford,MA
Wellesley College,1399,0.2911,2347,2,57164,0.9068,3,Wellesley,MA
Wentworth Institute of Technology,1109,0.5761,3975,2,43850,0.6251,3,Boston,MA
Western New England University,1077,0.8151,2648,2,45850,0.5961,3,Springfield,MA
Westfield State University,995,0.7487,5524,1,19468,0.585,3,Westfield,MA
Wheaton College,NULL,0.6737,1640,2,56934,0.756,3,Norton,MA
Wheelock College,996,0.7318,839,2,45591,0.5446,3,Boston,MA
Williams College,1439,0.1702,2051,2,59412,0.9536,3,Williamstown,MA
Worcester Polytechnic Institute,NULL,0.5159,4012,2,55866,0.8124,3,Worcester,MA
Worcester State University,1016,0.6062,5033,1,18494,0.4882,3,Worcester,MA
Adrian College,1007,0.5628,1616,2,40199,0.5445,3,Adrian,MI
Albion College,1143,0.5639,1284,2,45690,0.736,3,Albion,MI
Hillsdale Beauty College,NULL,NULL,35,3,NULL,NULL,1,Hillsdale,MI
Northwestern Technological Institute,NULL,NULL,406,3,NULL,NULL,1,Southfield,MI
Alma College,1100,0.6791,1385,2,43157,0.6118,3,Alma,MI
Alpena Community College,NULL,NULL,1418,1,7229,NULL,2,Alpena,MI
Andrews University,1070,0.3751,1765,2,33653,0.6036,3,Berrien Springs,MI
Aquinas College,1090,0.7135,1843,2,34593,0.5976,3,Grand Rapids,MI
Baker College of Owosso,NULL,NULL,2726,2,18035,0.1404,2,Owosso,MI
Baker College of Flint,NULL,NULL,4886,2,18241,0.113,2,Flint,MI
Bay de Noc Community College,NULL,NULL,2024,1,12614,NULL,2,Escanaba,MI
Bayshire Academy of Beauty Craft Inc,NULL,NULL,41,3,NULL,NULL,1,Bay City,MI
Cadillac Institute of Cosmetology,NULL,NULL,39,3,NULL,NULL,1,Cadillac,MI
Calvin College,1183,0.6975,3895,2,39013,0.7273,3,Grand Rapids,MI
Calvin Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Grand Rapids,MI
Carnegie Institute,NULL,NULL,241,3,17746,NULL,1,Troy,MI
Michigan School of Professional Psychology,NULL,NULL,NULL,2,NULL,NULL,4,Farmington Hills,MI
Central Michigan University,1029,0.6304,20070,1,21523,0.5929,3,Mount Pleasant,MI
Mott Community College,NULL,NULL,8349,1,12138,NULL,2,Flint,MI
Empire Beauty School-Michigan,NULL,NULL,365,3,NULL,NULL,1,Grand Rapids,MI
Cleary University,976,0.7263,450,2,17823,0.4423,3,Ann Arbor,MI
Concordia University-Ann Arbor,1010,0.5374,529,2,33441,0.3723,3,Ann Arbor,MI
Cranbrook Academy of Art,NULL,NULL,NULL,2,NULL,NULL,4,Bloomfield Hills,MI
College for Creative Studies,1010,0.486,1352,2,46095,0.5583,3,Detroit,MI
Davenport University,NULL,0.917,7119,2,25439,0.3892,3,Grand Rapids,MI
David Pressley School of Cosmetology,NULL,NULL,225,3,NULL,NULL,1,Royal Oak,MI
Delta College,NULL,NULL,8664,1,8696,NULL,2,University Center,MI
Detroit Business Institute-Downriver,NULL,NULL,76,3,NULL,NULL,1,Riverview,MI
Michigan State University-College of Law,NULL,NULL,NULL,2,NULL,NULL,4,East Lansing,MI
MIAT College of Technology,NULL,0.9593,469,3,16919,NULL,1,Canton,MI
University of Detroit Mercy,1142,0.6147,2871,2,48027,0.5682,3,Detroit,MI
Dorsey Business Schools-Madison Heights,NULL,NULL,203,3,30517,NULL,1,Madison Heights,MI
Dorsey Business Schools-Southgate,NULL,NULL,145,3,28379,NULL,1,Southgate,MI
Eastern Michigan University,1011,0.6398,18543,1,18905,0.3844,3,Ypsilanti,MI
Ferris State University,1010,0.759,12646,1,21498,0.4319,3,Big Rapids,MI
Flint Institute of Barbering Inc,NULL,0.75,56,3,NULL,NULL,1,Flint,MI
Glen Oaks Community College,NULL,NULL,709,1,10394,NULL,1,Centreville,MI
Kettering University,1198,0.6159,1640,2,49303,0.6078,3,Flint,MI
Gogebic Community College,NULL,NULL,948,1,12540,NULL,2,Ironwood,MI
Grace Bible College,NULL,0.7486,576,2,20912,0.4878,3,Wyoming,MI
Cornerstone University,1084,0.6807,2100,2,33912,0.4571,3,Grand Rapids,MI
Everest Institute-Grand Rapids,NULL,NULL,576,3,NULL,NULL,1,Grand Rapids,MI
Grand Rapids Community College,NULL,NULL,15635,1,8382,NULL,2,Grand Rapids,MI
Grand Valley State University,1090,0.826,21137,1,21512,0.695,3,Allendale,MI
Great Lakes Christian College,NULL,NULL,194,2,25506,0.25,3,Lansing,MI
Henry Ford Community College,NULL,NULL,12421,1,9498,NULL,2,Dearborn,MI
Hope College,1204,0.7253,3296,2,38593,0.7814,3,Holland,MI
ITT Technical Institute-Wyoming,NULL,0.9432,343,3,26994,0.3421,2,Wyoming,MI
Jackson College,NULL,NULL,5180,1,11636,NULL,2,Jackson,MI
Wright Beauty Academy,NULL,NULL,84,3,NULL,NULL,1,Portage,MI
Kalamazoo College,1240,0.6689,1427,2,48547,0.7741,3,Kalamazoo,MI
Kalamazoo Valley Community College,NULL,NULL,9139,1,10156,NULL,2,Kalamazoo,MI
Kellogg Community College,NULL,NULL,4986,1,9222,NULL,2,Battle Creek,MI
Kirtland Community College,NULL,NULL,1547,1,11482,NULL,1,Roscommon,MI
Michigan College of Beauty-Monroe,NULL,NULL,117,3,NULL,NULL,1,Monroe,MI
Lake Michigan College,NULL,NULL,3252,1,11762,NULL,2,Benton Harbor,MI
Lake Superior State University,1050,0.9183,2299,1,19571,0.42,3,Sault Ste Marie,MI
Lansing Community College,NULL,NULL,13947,1,11373,NULL,2,Lansing,MI
Lawrence Technological University,1145,0.4365,3033,2,39890,0.4939,3,Southfield,MI
M J Murphy Beauty College of Mount Pleasant,NULL,NULL,82,3,NULL,NULL,1,Mount Pleasant,MI
Macomb Community College,NULL,NULL,13619,1,10964,NULL,2,Warren,MI
Madonna University,1034,0.6125,3080,2,22629,0.4294,3,Livonia,MI
Marygrove College,780,0.9378,1041,2,25733,0.2931,3,Detroit,MI
Rochester College,990,0.6567,960,2,26399,0.4301,3,Rochester Hills,MI
University of Michigan-Ann Arbor,1352,0.3326,28077,1,25760,0.8997,3,Ann Arbor,MI
Michigan Barber School Inc,NULL,NULL,163,2,NULL,NULL,1,Detroit,MI
Michigan State University,1158,0.6865,37622,1,23740,0.7736,3,East Lansing,MI
Michigan Technological University,1206,0.7659,5536,1,24724,0.6453,3,Houghton,MI
University of Michigan-Dearborn,1125,0.6284,6793,1,15831,0.518,3,Dearborn,MI
University of Michigan-Flint,993,0.7809,6746,1,16731,0.3754,3,Flint,MI
Mid Michigan Community College,NULL,NULL,3098,1,10136,NULL,2,Harrison,MI
Monroe County Community College,NULL,NULL,2285,1,7479,NULL,2,Monroe,MI
Montcalm Community College,NULL,NULL,1643,1,10782,NULL,2,Sidney,MI
Mr Bela's School of Cosmetology Inc,NULL,NULL,117,3,NULL,NULL,1,Warren,MI
Baker College of Muskegon,NULL,NULL,3988,2,18466,0.1466,2,Muskegon,MI
Muskegon Community College,NULL,NULL,3798,1,9042,NULL,2,Muskegon,MI
Everest College-Skokie,NULL,NULL,459,3,NULL,NULL,1,Skokie,IL
Everest Institute-Southfield,NULL,NULL,1003,3,NULL,NULL,1,Southfield,MI
North Central Michigan College,NULL,NULL,2466,1,6204,NULL,2,Petoskey,MI
Northern Michigan University,1030,0.7313,7959,1,18466,0.4829,3,Marquette,MI
Paul Mitchell the School-Escanaba,NULL,NULL,41,3,NULL,NULL,1,Escanaba,MI
Northwestern Michigan College,NULL,NULL,4241,1,12840,0.1519,2,Traverse City,MI
Northwood University-Michigan,1029,0.6538,2920,2,32803,0.5414,3,Midland,MI
Oakland Community College,NULL,NULL,15304,1,10055,NULL,2,Bloomfield Hills,MI
Oakland University,1070,0.66,16113,1,19198,0.4295,3,Rochester Hills,MI
Olivet College,927,0.5148,1016,2,31515,0.4341,3,Olivet,MI
Port Huron Cosmetology College,NULL,NULL,82,3,NULL,NULL,1,Waterford,MI
Kuyper College,1008,0.6842,283,2,26213,0.4179,3,Grand Rapids,MI
Ross Medical Education Center-Lansing,NULL,NULL,151,3,NULL,NULL,1,Lansing,MI
Ross Medical Education Center-Madison Heights,NULL,NULL,270,3,NULL,NULL,1,Madison Heights,MI
Ross Medical Education Center-Flint,NULL,NULL,307,3,NULL,NULL,1,Flint,MI
Sacred Heart Major Seminary,NULL,1,154,2,NULL,0.5,3,Detroit,MI
Saginaw Valley State University,990,0.7865,8687,1,17876,0.3894,3,University Center,MI
Schoolcraft College,NULL,NULL,9535,1,8550,NULL,2,Livonia,MI
Siena Heights University,990,0.6765,2325,2,31980,0.431,3,Adrian,MI
St Clair County Community College,NULL,NULL,3588,1,10118,NULL,2,Port Huron,MI
Southwestern Michigan College,NULL,NULL,2419,1,13118,NULL,2,Dowagiac,MI
Specs Howard School of Media Arts,NULL,NULL,597,3,NULL,NULL,1,Southfield,MI
Spring Arbor University,1069,0.6505,2860,2,32709,0.5673,3,Spring Arbor,MI
Michigan Career and Technical Institute,NULL,NULL,200,1,20625,NULL,1,Plainwell,MI
Finlandia University,930,0.5883,498,2,29377,0.4625,3,Hancock,MI
Thomas M Cooley Law Schoo,NULL,NULL,NULL,2,NULL,NULL,4,Lansing,MI
Twin City Beauty College,NULL,NULL,111,3,NULL,NULL,1,Saint Joseph,MI
Walsh College of Accountancy and Business Administration,NULL,NULL,967,2,NULL,NULL,3,Troy,MI
Washtenaw Community College,NULL,NULL,10172,1,10498,NULL,1,Ann Arbor,MI
Wayne County Community College District,NULL,NULL,13713,1,10234,NULL,2,Detroit,MI
Wayne State University,1050,0.7624,17789,1,20199,0.3235,3,Detroit,MI
West Shore Community College,NULL,NULL,1167,1,7734,NULL,2,Scottville,MI
Western Michigan University,1030,0.8285,18755,1,22483,0.5491,3,Kalamazoo,MI
Western Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Holland,MI
Wright Beauty Academy,NULL,NULL,45,3,NULL,NULL,1,Battle Creek,MI
Academy College,NULL,NULL,140,3,26704,0.8,2,Minneapolis,MN
Alexandria Technical & Community College,NULL,NULL,1782,1,17952,NULL,2,Alexandria,MN
American Indian OIC Inc,NULL,NULL,136,2,NULL,NULL,1,Minneapolis,MN
Anoka Technical College,NULL,NULL,1992,1,19562,NULL,2,Anoka,MN
Anoka-Ramsey Community College,NULL,NULL,6585,1,16272,NULL,2,Coon Rapids,MN
Augsburg College,1053,0.6086,2661,2,42531,0.6326,3,Minneapolis,MN
Riverland Community College,NULL,NULL,2509,1,13823,NULL,1,Austin,MN
Northwest Technical College,NULL,NULL,795,1,14542,NULL,1,Bemidji,MN
Bemidji State University,990,0.6678,4397,1,18166,0.4758,3,Bemidji,MN
Bethany Lutheran College,1070,0.7458,552,2,32531,0.4943,3,Mankato,MN
Bethel University,1144,0.9485,3178,2,42692,0.7136,3,Saint Paul,MN
Bethel Seminary-St Paul,NULL,NULL,NULL,2,NULL,NULL,4,Saint Paul,MN
Central Lakes College-Brainerd,NULL,NULL,2601,1,14585,NULL,2,Brainerd,MN
Carleton College,1406,0.2095,2023,2,58275,0.9214,3,Northfield,MN
Concordia College at Moorhead,1144,0.7998,2464,2,39803,0.7101,3,Moorhead,MN
Concordia University-Saint Paul,991,0.5239,1927,2,40267,0.4627,3,Saint Paul,MN
Dakota County Technical College,NULL,NULL,2641,1,17876,NULL,1,Rosemount,MN
Martin Luther College,1125,0.9617,729,2,20740,0.7684,3,New Ulm,MN
Lake Superior College,NULL,NULL,3990,1,17179,NULL,2,Duluth,MN
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,NULL,33,3,NULL,NULL,1,Duluth,MN
Duluth Business University,NULL,NULL,201,3,29911,0.2468,2,Dultuh,MN
Minnesota State Community and Technical College,NULL,NULL,4960,1,15188,NULL,2,Fergus Falls,MN
Globe University-Woodbury,NULL,NULL,845,3,28684,0.3455,2,Woodbury,MN
Minnesota West Community and Technical College,NULL,NULL,2165,1,14665,NULL,1,Granite Falls,MN
Gustavus Adolphus College,1224,0.6322,2439,2,48422,0.8228,3,Saint Peter,MN
Hamline University,1106,0.6557,2108,2,43433,0.6637,3,Saint Paul,MN
Hazelden Graduate School of Addiction Studies,NULL,NULL,0,2,NULL,NULL,1,Center City,MN
Hennepin Technical College,NULL,NULL,5750,1,18165,NULL,1,Brooklyn Park,MN
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,NULL,37,3,NULL,NULL,1,Hibbing,MN
Hibbing Community College,NULL,NULL,1186,1,13853,NULL,2,Hibbing,MN
Aveda Institute-Minneapolis,NULL,NULL,489,3,NULL,NULL,1,Minneapolis,MN
Inver Hills Community College,NULL,NULL,4915,1,15152,NULL,2,Inver Grove Heights,MN
Itasca Community College,NULL,NULL,1076,1,15255,NULL,2,Grand Rapids,MN
The Art Institutes International-Minnesota,NULL,NULL,1161,3,31098,0.3513,3,Minneapolis,MN
Luther Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Saint Paul,MN
Macalester College,1350,0.3416,2029,2,55393,0.8742,3,Saint Paul,MN
South Central College,NULL,NULL,2966,1,15134,NULL,2,North Mankato,MN
Minnesota State University-Mankato,1030,0.6555,12542,1,17578,0.4904,3,Mankato,MN
Regency Beauty Institute-Blaine,NULL,NULL,137,3,NULL,NULL,1,Blaine,MN
Mayo Medical School,NULL,NULL,NULL,2,NULL,NULL,4,Rochester,MN
Mayo School of Health Sciences,NULL,NULL,131,2,NULL,NULL,1,Rochester,MN
Argosy University-Twin Cities,NULL,NULL,1113,3,23047,0.2273,2,Eagan,MN
Mesabi Range Community and Technical College,NULL,NULL,986,1,11634,NULL,2,Virginia,MN
Metropolitan State University,NULL,1,7322,1,18170,0.3387,3,Saint Paul,MN
University of Minnesota-Twin Cities,1270,0.4442,30271,1,24278,0.754,3,Minneapolis,MN
University of Minnesota-Crookston,1004,0.6916,1813,1,21549,0.4369,3,Crookston,MN
Minneapolis Business College,NULL,NULL,235,3,18922,NULL,2,Roseville,MN
Minneapolis College of Art and Design,1073,0.5895,683,2,41935,0.5959,3,Minneapolis,MN
Minneapolis Community and Technical College,NULL,NULL,8938,1,18789,NULL,2,Minneapolis,MN
Herzing University-Minneapolis,NULL,0.7126,262,3,22451,0.7333,2,Minneapolis,MN
Minnesota School of Cosmetology-Woodbury Campus,NULL,NULL,138,3,NULL,NULL,1,WOODBURY,MN
Crossroads College,NULL,0.2143,97,2,25235,0.4,3,Rochester,MN
University of Minnesota-Duluth,1109,0.7822,9239,1,22796,0.5883,3,Duluth,MN
University of Minnesota-Morris,1168,0.5764,1846,1,22853,0.6341,3,Morris,MN
Minnesota School of Business-Richfield,NULL,NULL,896,3,30125,0.3333,3,Richfield,MN
Model College of Hair Design,NULL,NULL,125,3,NULL,NULL,1,Saint Cloud,MN
Minnesota State University-Moorhead,1049,0.8911,5912,1,18028,0.4624,3,Moorhead,MN
North Hennepin Community College,NULL,NULL,6670,1,19425,NULL,2,Brooklyn Park,MN
National American University-Roseville,NULL,NULL,369,3,22631,0.25,2,Roseville,MN
Brown College-Mendota Heights,NULL,NULL,237,3,23700,0.5,3,Mendota Heights,MN
Normandale Community College,NULL,NULL,7751,1,17455,NULL,2,Bloomington,MN
North Central University,1044,0.9521,1106,2,28800,0.4549,3,Minneapolis,MN
Northland Community and Technical College,NULL,NULL,2862,1,15429,NULL,1,Thief River Falls,MN
Northwest Technical Institute,NULL,NULL,NULL,3,NULL,NULL,2,Eagan,MN
University of Northwestern-St Paul,1126,0.6915,2038,2,37803,0.6844,3,Saint Paul,MN
Northwestern Health Sciences University,NULL,NULL,113,2,23983,0.6667,3,Bloomington,MN
Oak Hills Christian College,930,0.5873,126,2,25300,0.5667,3,Bemidji,MN
Regency Beauty Institute-Burnsville,NULL,NULL,112,3,NULL,NULL,1,Burnsville,MN
Pine Technical College,NULL,NULL,751,1,15646,NULL,1,Pine City,MN
Rainy River Community College,NULL,NULL,204,1,13190,NULL,2,International Falls,MN
Rochester Community and Technical College,NULL,NULL,5291,1,18591,NULL,2,Rochester,MN
College of Saint Benedict,1157,0.7554,2051,2,47734,0.816,3,Saint Joseph,MN
St Cloud Technical and Community College,NULL,NULL,4422,1,12704,NULL,2,Saint Cloud,MN
Regency Beauty Institute-St Cloud,NULL,NULL,76,3,NULL,NULL,1,Waite Park,MN
Saint Cloud State University,1010,0.8691,11535,1,17892,0.478,3,Saint Cloud,MN
Saint Johns University,1155,0.7516,1871,2,46397,0.7946,3,Collegeville,MN
Saint Mary's University of Minnesota,1068,0.7485,1897,2,38470,0.5516,3,Winona,MN
St Olaf College,1290,0.5919,3079,2,50550,0.8708,3,Northfield,MN
Crown College,983,0.55,1095,2,34574,0.5563,3,Saint Bonifacius,MN
The College of Saint Scholastica,1085,0.7265,2858,2,40685,0.6838,3,Duluth,MN
University of St Thomas,1165,0.8617,6246,2,48421,0.751,3,Saint Paul,MN
Empire Beauty School-Bloomington,NULL,NULL,148,3,NULL,NULL,1,Bloomington,MN
